Iteración,Fitness
1,66139.06819133929
2,51308.46247796211
3,32750.691329190326
4,17365.086996580692
5,6624.749062820401
6,1652.2720969546172
7,1108.802662758162
8,1094.2279468163597
9,1022.2999101899435
10,715.406429954582
11,706.4662343503062
12,605.0218101135196
13,515.6236671202237
14,515.6236671202237
15,419.2696483966143
16,373.2715955486717
17,302.0788851075097
18,250.6661058834822
19,234.47876037997673
20,165.52701445195882
21,130.44099168941256
22,112.58154676427115
23,112.58154676427115
24,81.61612012501314
25,81.61612012501314
26,53.36620640161402
27,53.36620640161402
28,45.63612052406666
29,45.48072655379218
30,35.80773933986457
31,35.80773933986457
32,33.406995798196974
33,33.406995798196974
34,26.107705407338795
35,26.107705407338795
36,21.846430095341155
37,21.846430095341155
38,17.084545835350337
39,17.084545835350337
40,13.308389188797603
41,13.308389188797603
42,12.620819620461612
43,12.620819620461612
44,10.396656187516012
45,10.271185911067159
46,8.911523936379645
47,8.911523936379645
48,6.126787163213954
49,6.126787163213954
50,3.956284380079525
51,3.956284380079525
52,3.478527767761806
53,3.478527767761806
54,3.478527767761806
55,3.478527767761806
56,2.561135634614119
57,2.561135634614119
58,1.8509145339597886
59,1.8509145339597886
60,1.2808591618572183
61,1.2808591618572183
62,1.109853700184763
63,1.109853700184763
64,0.8113872902704488
65,0.8113872902704488
66,0.8113872902704488
67,0.8113872902704488
68,0.8113872902704488
69,0.7630251413928443
70,0.44247009747134913
71,0.44247009747134913
72,0.44247009747134913
73,0.44247009747134913
74,0.35587500971772446
75,0.35587500971772446
76,0.35587500971772446
77,0.35587500971772446
78,0.3344114306013663
79,0.3344114306013663
80,0.214810327272968
81,0.214810327272968
82,0.18894676707089103
83,0.18894676707089103
84,0.18695535444148262
85,0.18695535444148262
86,0.1723866412596311
87,0.1723866412596311
88,0.1602700438544232
89,0.1602700438544232
90,0.13808414514029624
91,0.13808414514029624
92,0.10826860001552784
93,0.10826860001552784
94,0.10609537946959831
95,0.10609537946959831
96,0.07282207740435548
97,0.07282207740435548
98,0.05890610948579776
99,0.05890610948579776
100,0.042331927097393154
101,0.042331927097393154
102,0.03439654710835385
103,0.03439654710835385
104,0.032900191474585935
105,0.032900191474585935
106,0.02600045335866984
107,0.02600045335866984
108,0.02600045335866984
109,0.02600045335866984
110,0.023787766293039313
111,0.023787766293039313
112,0.013646151052332252
113,0.013646151052332252
114,0.013646151052332252
115,0.013646151052332252
116,0.012670619981279628
117,0.012670619981279628
118,0.007760904823565854
119,0.007760904823565854
120,0.007760904823565854
121,0.007760904823565854
122,0.006447909776877749
123,0.006447909776877749
124,0.0057391836764303875
125,0.005076897399582813
126,0.0035036546159503035
127,0.0035036546159503035
128,0.0035036546159503035
129,0.0035036546159503035
130,0.0035036546159503035
131,0.0035036546159503035
132,0.002643924434166852
133,0.002491119855345928
134,0.0023176313022881577
135,0.0023176313022881577
136,0.001564761515597903
137,0.001564761515597903
138,0.0010708070965265964
139,0.0010708070965265964
140,0.0010708070965265964
141,0.0010708070965265964
142,0.0010536966975824783
143,0.0010536966975824783
144,0.0009680718966905411
145,0.0009680718966905411
146,0.0009342657648176352
147,0.0009342657648176352
148,0.0009105025078441849
149,0.0009105025078441849
150,0.0008373546842018546
151,0.0006983328011975553
152,0.0006983328011975553
153,0.0006983328011975553
154,0.0004060645903198685
155,0.0004060645903198685
156,0.0004060645903198685
157,0.0004060645903198685
158,0.0004060645903198685
159,0.0004060645903198685
160,0.0004060645903198685
161,0.0004060645903198685
162,0.00034123289672712524
163,0.00034123289672712524
164,0.00029325807008707716
165,0.00029325807008707716
166,0.00022824402665071186
167,0.00022824402665071186
168,0.0001909786943253921
169,0.0001909786943253921
170,0.0001682712255869825
171,0.0001682712255869825
172,0.00014844004051343907
173,0.00014844004051343907
174,0.00011441841293254768
175,0.00011441841293254768
176,7.163554670257548e-05
177,7.163554670257548e-05
178,5.8729871846873585e-05
179,5.8729871846873585e-05
180,4.944109701727075e-05
181,4.944109701727075e-05
182,4.944109701727075e-05
183,4.274347240636126e-05
184,3.451084619793148e-05
185,3.451084619793148e-05
186,2.6436047714051933e-05
187,2.6436047714051933e-05
188,2.6436047714051933e-05
189,2.6436047714051933e-05
190,2.3465443378945893e-05
191,2.3465443378945893e-05
192,1.9429196420359595e-05
193,1.6977297576075553e-05
194,1.6977297576075553e-05
195,1.6977297576075553e-05
196,1.5240686252497067e-05
197,1.5240686252497067e-05
198,9.771930572689392e-06
199,9.771930572689392e-06
200,9.74763636820858e-06
201,9.74763636820858e-06
202,9.116687242048441e-06
203,6.69720091498549e-06
204,4.528148950702843e-06
205,4.528148950702843e-06
206,3.665395749588708e-06
207,3.665395749588708e-06
208,3.6326898132214595e-06
209,3.6326898132214595e-06
210,3.405523237456908e-06
211,3.405523237456908e-06
212,2.7358363095578784e-06
213,2.7358363095578784e-06
214,1.7209087292453138e-06
215,1.7209087292453138e-06
216,1.7209087292453138e-06
217,1.7209087292453138e-06
218,1.7209087292453138e-06
219,1.7209087292453138e-06
220,1.6269106182622653e-06
221,1.4547585093023672e-06
222,1.4207521115617675e-06
223,1.4207521115617675e-06
224,1.154938493770548e-06
225,1.154938493770548e-06
226,1.0074451754086334e-06
227,9.621590998478004e-07
228,5.325684712150558e-07
229,5.325684712150558e-07
230,5.325684712150558e-07
231,5.325684712150558e-07
232,5.325684712150558e-07
233,5.325684712150558e-07
234,5.325684712150558e-07
235,3.16484911770962e-07
236,2.0214473279292117e-07
237,2.0214473279292117e-07
238,2.0214473279292117e-07
239,2.0214473279292117e-07
240,2.0214473279292117e-07
241,2.0214473279292117e-07
242,1.3981877173387983e-07
243,1.3981877173387983e-07
244,1.1220947808152095e-07
245,1.1220947808152095e-07
246,1.1220947808152095e-07
247,1.1220947808152095e-07
248,1.1220947808152095e-07
249,1.1220947808152095e-07
250,1.1220947808152095e-07
251,1.1220947808152095e-07
252,8.899903487754144e-08
253,8.899903487754144e-08
254,8.899903487754144e-08
255,8.899903487754144e-08
256,8.899903487754144e-08
257,8.899903487754144e-08
258,8.144132270363531e-08
259,8.144132270363531e-08
260,5.9535348721532226e-08
261,5.9535348721532226e-08
262,3.6915697230592925e-08
263,3.6915697230592925e-08
264,3.6915697230592925e-08
265,3.6915697230592925e-08
266,3.6915697230592925e-08
267,2.997916045484505e-08
